sp_id,proteinas,con_interpro,con_orthomcl,druggables,pct_interpro,pct_orthomcl,nombre,grupo,reino,parasito
14,40969,22798,26320.0,14820,55.64695257389734,64.24369645341599,,,,
3,18052,11799,16301.0,1985,65.3611788167516,90.30024374030579,sp03 (Mamiferos),Mamiferos,Eucariota,False
1,4598,2795,4529.0,752,60.787298825576336,98.49934754240974,"sp01 (Bacterias, parasito)",Bacterias,Procariota,True
10,6743,3463,6091.0,533,51.35696277621237,90.33071333234466,sp10 (Hongos),Hongos,Eucariota,False
18,18683,13362,18185.0,402,71.51956323930847,97.33447519135042,sp18 (Mamiferos),Mamiferos,Eucariota,False
21,21747,15694,21712.0,362,72.16627580815745,99.83905826090955,sp21 (Plantas),Plantas,Eucariota,False
0,4083,2559,4073.0,204,62.674504041146214,99.75508204751408,"sp00 (Bacterias, parasito)",Bacterias,Procariota,True
17,10707,7495,10693.0,123,70.00093396843187,99.86924441953862,sp17 (Invertebrados),Invertebrados,Eucariota,False
26,5495,2457,5495.0,95,44.71337579617835,100.0,"sp26 (Protozoos, parasito)",Protozoos,Eucariota,True
15,8832,3562,8632.0,68,40.330615942028984,97.73550724637681,"sp15 (Protozoos, parasito)",Protozoos,Eucariota,True
9,27512,14168,27425.0,63,51.497528351264904,99.6837743530096,sp09 (Invertebrados),Invertebrados,Eucariota,False
25,6041,3412,6040.0,47,56.480715113391824,99.98344644926337,"sp25 (Hongos, parasito)",Hongos,Eucariota,True
28,23214,15743,22012.0,38,67.81683466873439,94.82209011803222,sp28 (Plantas),Plantas,Eucariota,False
23,6564,2867,6564.0,30,43.67763558805606,100.0,"sp23 (Protozoos, parasito)",Protozoos,Eucariota,True
4,19245,7627,19240.0,29,39.63107300597558,99.97401922577293,"sp04 (Protozoos, parasito)",Protozoos,Eucariota,True
5,2687,1494,2129.0,27,55.60104205433569,79.23334573874209,"sp05 (Bacterias, parasito)",Bacterias,Procariota,True
22,13126,6290,13088.0,19,47.92015846411702,99.71049824775255,sp22 (Amebozoos),Amebozoos,Eucariota,False
20,50190,16945,50015.0,10,33.76170551902769,99.6513249651325,,,,
27,4926,1886,4926.0,10,38.28664230613074,100.0,,,,
13,5728,3343,4944.0,7,58.362430167597765,86.31284916201118,,,,
12,8315,3317,8312.0,6,39.89176187612748,99.96392062537582,,,,
19,7905,3313,7905.0,4,41.91018342821,100.0,,,,
11,15165,8669,15139.0,3,57.16452357401912,99.8285525881965,,,,
16,13991,6406,,3,45.7865770852691,,,,,
29,6484,2363,6484.0,3,36.443553362122145,100.0,,,,
24,6315,3087,6314.0,2,48.88361045130641,99.98416468725257,,,,
8,12182,5877,10250.0,1,48.24330980134625,84.1405352158923,,,,
7,4581,1795,4581.0,0,39.18358437022484,100.0,,,,
2,10214,5118,8026.0,0,50.107695320148814,78.57842177403563,,,,
6,15059,6547,12379.0,0,43.47566239458131,82.2033335546849,,,,
