l,rho,lambda,lambda_suave
1,5.0,5.0,4.053018264324026
2,9.0,4.0,4.544871352530224
3,13.0,4.0,5.109565541277275
4,17.0,4.0,5.565791902136858
5,24.0,7.0,5.73224150668064
6,33.0,9.0,5.4814848445853706
7,39.0,6.0,4.901610077948072
8,40.0,1.0,4.134584786970836
9,43.0,3.0,3.322376551855758
10,47.0,4.0,2.589646530599076
11,48.0,1.0,1.9918301923736066
12,48.0,0.0,1.567056584146314
13,50.0,2.0,1.3534547528841607
14,53.0,3.0,1.372000782452962
15,54.0,1.0,1.5750589043139402
16,56.0,2.0,1.8978403868271694
17,56.0,0.0,2.2755564983527234
18,58.0,2.0,2.640620473367155
19,62.0,4.0,2.9142534108129308
20,68.0,6.0,3.0148783757489945
21,71.0,3.0,2.8609184332342914
22,73.0,2.0,2.4175022797929113
23,74.0,1.0,1.8365811378095311
24,75.0,1.0,1.292328188396145
25,75.0,0.0,0.8609819217134536
26,75.0,0.0,0.5811759045290058
27,76.0,1.0,0.4390587009890606
28,77.0,1.0,0.4076576245845528
29,78.0,1.0,0.45999998880641735
30,79.0,1.0,0.5691131071455892
31,79.0,0.0,0.7080242930930037
32,79.0,0.0,0.8497608601395953
33,80.0,1.0,0.9673501217762996
34,80.0,0.0,1.0399361190830567
35,84.0,4.0,1.0711298034958308
36,84.0,0.0,1.07065885403959
37,85.0,1.0,1.0482509497393036
38,85.0,0.0,1.0136337696199402
39,86.0,1.0,0.9765349927064696
40,89.0,3.0,0.9466822980238602
41,89.0,0.0,0.933803364597081
42,89.0,0.0,0.9444795657406105
43,90.0,1.0,0.9727070519269653
44,91.0,1.0,1.0093356679181713
45,93.0,2.0,1.0452152584762544
46,94.0,1.0,1.0711956683632406
47,95.0,1.0,1.078126742341156
48,95.0,0.0,1.0568583251720263
49,98.0,3.0,0.9982402616178776
50,98.0,0.0,0.8974953772689728
51,98.0,0.0,0.7673384210285203
52,98.0,0.0,0.6248571226279659
53,100.0,2.0,0.4871392117987551
54,100.0,0.0,0.3712724182723334
55,101.0,1.0,0.2943444717801463
56,101.0,0.0,0.2734431020536394
57,101.0,0.0,0.32565603882425803
58,101.0,0.0,0.45843227435272826
59,101.0,0.0,0.6406658510168968
60,101.0,0.0,0.8316120737238907
61,105.0,4.0,0.9905262473808374
62,105.0,0.0,1.0808397101713534
63,106.0,1.0,1.0826879333850121
64,107.0,1.0,0.9803824215878773
65,108.0,1.0,0.7728893781995625
66,108.0,0.0,0.5177938020538858
67,109.0,1.0,0.28733539083821574
68,109.0,0.0,0.15375384223992103
69,109.0,0.0,0.16693611472350273
70,109.0,0.0,0.2873582098619916
71,109.0,0.0,0.4531433900055509
72,109.0,0.0,0.6024149175043436
73,110.0,1.0,0.6859434966088108
74,111.0,1.0,0.7050895991705033
75,114.0,3.0,0.6738611389412495
76,114.0,0.0,0.6062660296728786
77,114.0,0.0,0.5159045696650386
78,114.0,0.0,0.41474659540865677
79,114.0,0.0,0.3143543279424809
80,114.0,0.0,0.22628998830525784
81,114.0,0.0,0.1597906973228844
82,114.0,0.0,0.11479317496985482
83,114.0,0.0,0.0889090410078128
84,114.0,0.0,0.07974991519840212
85,114.0,0.0,0.08492741730326654
86,115.0,1.0,0.10205316708404968
87,115.0,0.0,0.12873878430239538
88,116.0,1.0,0.16259588871994723
89,116.0,0.0,0.201236100098349
90,116.0,0.0,0.2422710381992443
91,116.0,0.0,0.2833123227842772
92,116.0,0.0,0.3219715736150912
